KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001101001,T001101002,T001101003,T001101004,T001101005,T001101006,T001101007,T001101008,T001101009,T001101010,T001101011,T001101012,T001101013,T001101014,T001101015,T001101016,T001101017,T001101018,T001101019,T001101020,T001101021,T001101022,T001101023,T001101024,T001101025,T001101026,T001101027,T001101028,T001101029,T001101030,T001101031,T001101032,T001101033,T001101034,T001101035,T001101036,T001101037,T001101038,T001101039,T001101040,T001101041,T001101042,T001101043,T001101044,T001101045,T001101046,T001101047,T001101048,T001101049,T001101050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
534064014,0,,,32,19,13,0,0,0,32,19,13,22,13,9,28,16,12,26,15,11,10,6,4,2,1,1,2,1,1,0,0,0,0,0,0,10,10,2,2,2,3,0,0,1,8,5,3,0,7,0,1,2
534064021,0,,,41,24,17,0,0,0,41,24,17,25,17,8,41,24,17,41,24,17,16,7,9,8,2,6,5,1,4,0,0,0,0,0,0,17,17,2,8,6,0,1,0,0,15,12,3,0,11,0,1,2
534064022,0,,,36,21,15,5,4,1,31,17,14,17,9,8,30,16,14,30,16,14,14,8,6,9,4,5,4,2,2,0,0,0,0,0,0,14,14,5,2,4,1,1,1,0,9,7,2,2,8,0,4,1
534064023,0,,,44,27,17,5,4,1,39,23,16,20,13,7,39,23,16,39,23,16,19,10,9,8,3,5,4,2,2,0,0,0,1,1,0,15,15,3,4,4,2,0,1,1,11,8,3,2,12,0,3,4
534064024,0,,,21,9,12,3,1,2,18,8,10,7,3,4,18,8,10,18,8,10,11,5,6,4,3,1,1,0,1,0,0,0,0,0,0,7,7,1,1,3,1,1,0,0,6,6,0,1,6,0,1,1
534064031,0,,,10,4,6,0,0,0,10,4,6,7,3,4,10,4,6,10,4,6,3,1,2,2,0,2,1,0,1,0,0,0,7,3,4,9,9,8,1,0,0,0,0,0,1,1,0,0,2,5,1,1
534064032,0,,,75,39,36,4,3,1,71,36,35,42,20,22,70,35,35,69,35,34,29,16,13,15,8,7,9,4,5,0,0,0,0,0,0,26,26,5,5,8,6,1,0,1,21,14,7,2,19,0,4,3
534064033,2,534064034,,6,4,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
534064034,1,,534064033,38,18,20,5,2,3,39,20,19,23,13,10,39,20,19,38,19,19,16,7,9,6,1,5,2,1,1,0,0,0,0,0,0,13,13,2,5,3,2,3,0,0,13,9,4,1,10,0,1,3
534064041,0,,,111,58,53,4,2,2,106,56,50,59,35,24,102,52,50,97,49,48,47,21,26,25,11,14,9,5,4,1,1,0,1,0,1,43,43,11,15,6,7,2,0,2,32,19,13,0,30,0,5,3
534064042,0,,,27,14,13,0,0,0,27,14,13,12,7,5,27,14,13,27,14,13,15,7,8,4,2,2,0,0,0,0,0,0,0,0,0,9,9,0,3,4,1,1,0,0,9,8,1,0,8,0,0,2
534064043,0,,,65,31,34,4,0,4,58,31,27,25,16,9,58,31,27,58,31,27,33,15,18,19,8,11,5,2,3,0,0,0,3,0,3,30,30,10,11,5,2,2,0,0,20,19,1,1,20,0,4,7
534064044,0,,,101,54,47,10,8,2,89,46,43,51,27,24,87,45,42,85,45,40,38,19,19,13,6,7,6,3,3,2,1,1,8,4,4,43,43,14,11,12,4,0,1,1,27,21,6,2,20,1,3,6
534064051,0,,,23,11,12,3,2,1,20,9,11,11,5,6,20,9,11,19,9,10,9,4,5,4,2,2,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,2,0,1,4,2,2,0,5,0,0,2
534064052,0,,,82,41,41,8,4,4,74,37,37,43,24,19,71,37,34,71,37,34,31,13,18,15,7,8,5,2,3,0,0,0,0,0,0,28,28,2,12,5,5,3,1,0,26,21,5,1,18,1,1,7
534064053,0,,,26,13,13,1,0,1,25,13,12,15,10,5,25,13,12,24,13,11,10,3,7,7,2,5,1,0,1,0,0,0,0,0,0,9,9,2,2,2,1,2,0,0,7,3,4,0,7,0,0,1
534064054,0,,,93,48,45,12,9,3,81,39,42,42,19,23,80,39,41,79,38,41,39,20,19,24,12,12,5,2,3,0,0,0,0,0,0,30,30,3,11,6,4,3,2,1,27,19,8,5,22,0,3,7
