KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001101001,T001101002,T001101003,T001101004,T001101005,T001101006,T001101007,T001101008,T001101009,T001101010,T001101011,T001101012,T001101013,T001101014,T001101015,T001101016,T001101017,T001101018,T001101019,T001101020,T001101021,T001101022,T001101023,T001101024,T001101025,T001101026,T001101027,T001101028,T001101029,T001101030,T001101031,T001101032,T001101033,T001101034,T001101035,T001101036,T001101037,T001101038,T001101039,T001101040,T001101041,T001101042,T001101043,T001101044,T001101045,T001101046,T001101047,T001101048,T001101049,T001101050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
533205031,0,,,19,9,10,2,1,1,17,8,9,9,5,4,16,8,8,16,8,8,8,3,5,5,3,2,1,0,1,0,0,0,0,0,0,6,6,1,3,0,0,0,2,0,5,3,2,0,5,0,0,3
533205032,1,,533205034,136,69,67,14,10,4,124,59,65,69,33,36,122,59,63,121,59,62,55,26,29,19,7,12,10,2,8,2,0,2,0,0,0,51,51,12,16,12,8,2,0,2,40,30,10,2,40,0,12,7
533205034,2,533205032,,2,0,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533205041,0,,,205,83,122,15,8,7,190,75,115,72,42,30,185,72,113,183,71,112,118,33,85,91,18,73,54,6,48,17,1,16,0,0,0,52,51,18,13,8,3,6,3,0,33,24,9,4,29,2,7,5
533205042,0,,,202,105,97,13,7,6,189,98,91,114,63,51,184,95,89,181,93,88,75,35,40,53,21,32,25,8,17,1,0,1,1,0,1,44,41,8,16,5,1,4,4,3,32,19,13,4,33,0,6,8
533205043,0,,,244,141,103,21,15,6,218,123,95,188,111,77,215,121,94,207,119,88,30,12,18,17,6,11,6,3,3,0,0,0,27,26,1,147,147,100,15,22,6,2,1,1,47,40,7,8,23,42,8,3
533205044,0,,,181,109,72,49,33,16,132,76,56,97,59,38,119,67,52,113,65,48,35,17,18,16,8,8,9,4,5,1,0,1,20,17,3,50,48,15,8,9,7,5,4,0,32,21,11,5,20,13,0,3
533205051,0,,,225,109,116,26,9,17,199,100,99,120,59,61,190,95,95,182,92,90,79,41,38,38,18,20,8,4,4,1,1,0,0,0,0,65,65,9,20,9,11,4,4,8,56,32,24,3,50,0,7,11
533205052,0,,,124,58,66,17,9,8,107,49,58,66,32,34,101,49,52,98,46,52,41,17,24,18,6,12,7,2,5,1,0,1,0,0,0,35,35,3,8,8,9,1,4,2,32,18,14,6,26,0,3,3
533205053,0,,,131,60,71,8,1,7,123,59,64,66,32,34,122,58,64,117,57,60,57,27,30,36,15,21,11,4,7,1,1,0,0,0,0,42,42,5,16,6,5,6,2,2,37,22,15,1,37,0,5,7
533205054,0,,,127,59,68,9,4,5,118,55,63,64,33,31,117,54,63,117,54,63,54,22,32,26,8,18,9,2,7,0,0,0,0,0,0,46,46,9,13,14,5,3,0,2,37,24,13,3,36,0,6,8
533205061,0,,,48,23,25,9,4,5,39,19,20,22,11,11,39,19,20,39,19,20,17,8,9,6,0,6,6,0,6,0,0,0,0,0,0,18,18,4,7,3,1,2,0,1,14,11,3,1,12,0,2,2
533205062,0,,,244,124,120,29,15,14,215,109,106,123,66,57,210,106,104,209,105,104,92,43,49,42,18,24,10,3,7,0,0,0,0,0,0,58,57,7,19,10,8,5,5,3,50,28,22,8,37,0,1,8
533205063,0,,,145,67,78,26,15,11,119,52,67,79,37,42,112,47,65,110,47,63,40,15,25,19,5,14,3,1,2,0,0,0,0,0,0,42,41,4,9,11,8,3,3,3,37,26,11,10,23,0,2,4
533205064,0,,,505,217,288,76,34,42,429,183,246,280,132,148,414,175,239,410,174,236,149,51,98,84,20,64,46,7,39,12,3,9,4,1,3,141,139,13,38,23,39,14,10,2,126,85,41,18,66,1,5,11
533205071,0,,,517,237,280,55,35,20,453,198,255,323,141,182,440,193,247,422,187,235,130,57,73,72,35,37,17,8,9,1,0,1,5,0,5,209,209,66,55,40,26,15,7,0,142,115,27,22,86,16,14,23
533205072,0,,,924,456,468,153,76,77,763,376,387,523,277,246,727,358,369,711,348,363,240,99,141,123,46,77,53,18,35,9,2,7,44,26,18,324,322,73,93,62,46,29,14,5,247,191,56,39,142,16,23,35
533205073,0,,,338,165,173,79,41,38,249,117,132,199,94,105,246,116,130,244,115,129,50,23,27,23,10,13,4,0,4,1,0,1,0,0,0,134,134,38,37,26,18,14,1,0,93,83,10,31,30,9,3,12
533205074,0,,,624,295,329,73,39,34,546,254,292,346,169,177,522,241,281,516,238,278,200,85,115,111,46,65,40,16,24,2,1,1,2,0,2,206,206,31,49,55,37,25,6,3,172,120,52,18,124,4,13,22
533205081,0,,,365,174,191,66,30,36,294,140,154,205,99,106,283,132,151,275,128,147,89,41,48,41,15,26,13,5,8,1,0,1,0,0,0,126,126,27,33,27,15,15,7,2,97,68,29,15,55,4,8,11
533205082,0,,,123,68,55,6,4,2,117,64,53,71,41,30,111,63,48,109,62,47,46,23,23,22,7,15,5,3,2,1,0,1,0,0,0,24,22,4,9,7,0,1,1,0,18,14,4,0,18,0,2,7
533205083,0,,,622,306,316,98,50,48,523,256,267,344,176,168,503,246,257,490,239,251,179,80,99,97,41,56,39,13,26,1,1,0,0,0,0,214,214,33,66,56,31,12,9,7,181,141,40,27,115,5,12,29
533205084,0,,,222,103,119,31,11,20,191,92,99,124,62,62,182,86,96,180,84,96,67,30,37,34,13,21,9,3,6,2,0,2,0,0,0,85,85,24,25,15,8,10,2,1,61,44,17,7,39,8,5,9
533205091,0,,,367,172,195,34,18,16,333,154,179,176,96,80,327,150,177,319,146,173,157,58,99,90,26,64,50,7,43,12,2,10,1,0,1,123,122,29,39,20,16,12,4,2,93,67,26,11,79,3,14,28
533205092,0,,,165,73,92,8,4,4,156,68,88,67,35,32,152,65,87,151,64,87,89,33,56,57,15,42,26,0,26,3,0,3,0,0,0,53,52,17,16,6,6,4,2,1,35,25,10,1,36,0,10,8
533205093,0,,,244,117,127,26,13,13,218,104,114,119,56,63,211,102,109,207,100,107,99,48,51,49,21,28,14,5,9,1,0,1,1,1,0,81,81,7,28,21,16,3,3,3,74,53,21,6,61,0,5,18
533205094,0,,,42,22,20,0,0,0,42,22,20,17,10,7,42,22,20,42,22,20,25,12,13,14,7,7,2,2,0,0,0,0,0,0,0,14,14,0,7,3,2,1,1,0,14,11,3,0,13,0,0,7
533205132,0,,,67,30,37,7,3,4,60,27,33,35,15,20,58,27,31,57,27,30,25,12,13,17,8,9,1,1,0,0,0,0,0,0,0,19,19,2,6,0,6,2,2,1,17,10,7,2,15,0,2,5
